Breed,Premium
<Mixed Breed (Cat)>,50.40041633306645
Abyssinian,45.7578431372549
American Bobtail,38.193333333333335
American Shorthair,55.0067438271605
Balinese,29.214411764705883
Bengal,53.238290909090914
Birman,52.681250000000006
Bombay,63.35952380952381
British Shorthair,47.23660606060606
Burmese,39.28818181818182
Chausie,31.54
Colorpoint Shorthair,49.09
Cornish Rex,62.902499999999996
Devon Rex,45.12747572815534
Domestic Longhair,52.04461267605634
Domestic Mediumhair,44.90521226415095
Domestic Shorthair,52.16897911832946
Donskoy,41.292857142857144
Egyptian Mau,34.013999999999996
Exotic Longhair,65.955
Exotic Shorthair,68.29173913043478
Havana Brown,56.68
Himalayan,51.22146788990826
Japanese Bobtail,34.3
Korat,48.33
LaPerm,47.88
Lykoi,40.71333333333333
Maine Coon,49.2810941475827
Manx,49.81333333333333
Munchkin,46.94
Norwegian Forest,65.97208333333333
Ocicat,49.534285714285716
Oriental,39.275555555555556
Persian,49.39673170731707
Peterbald,32.09125
Ragdoll,48.128281938326
Russian Blue,46.9815
Savannah,43.974799999999995
Scottish Fold,55.30439024390244
Selkirk Rex,34.45
Siamese,44.74111111111112
Siberian,45.28142222222222
Singapura,45.20777777777778
Snowshoe,75.29578947368421
Sphynx,49.49317258883249
Tonkinese,67.98
Toyger,59.19
Turkish Angora,81.41
Turkish Van,67.77
